sample_id,filename,coverage,total_gbp,n50,https_url
HG00146,01_23_24_R1041_HPRC_HG00146_1_dorado0.6.0_sup4.3.0_5mCG_5hmCG.bam,15.05,49.68,123670,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00146/raw_data/nanopore/dorado0.6.0_sup4.3.0_5mCG_5hmCG/01_23_24_R1041_HPRC_HG00146_1_dorado0.6.0_sup4.3.0_5mCG_5hmCG.bam
HG00146,11_14_23_R1041_HPRC_HG00146_2_dorado0.6.0_sup4.3.0_5mCG_5hmCG.bam,13.39,44.2,89361,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00146/raw_data/nanopore/dorado0.6.0_sup4.3.0_5mCG_5hmCG/11_14_23_R1041_HPRC_HG00146_2_dorado0.6.0_sup4.3.0_5mCG_5hmCG.bam
HG00146,11_14_23_R1041_HPRC_HG00146_3_dorado0.6.0_sup4.3.0_5mCG_5hmCG.bam,11.92,39.35,82847,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00146/raw_data/nanopore/dorado0.6.0_sup4.3.0_5mCG_5hmCG/11_14_23_R1041_HPRC_HG00146_3_dorado0.6.0_sup4.3.0_5mCG_5hmCG.bam
HG00232,01_23_24_R1041_HPRC_HG00232_2_dorado0.6.0_sup4.3.0_5mCG_5hmCG.bam,19.87,65.58,49461,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00232/raw_data/nanopore/dorado0.6.0_sup4.3.0_5mCG_5hmCG/01_23_24_R1041_HPRC_HG00232_2_dorado0.6.0_sup4.3.0_5mCG_5hmCG.bam
HG00232,11_14_23_R1041_HPRC_HG00232_1_dorado0.6.0_sup4.3.0_5mCG_5hmCG.bam,16.29,53.77,65000,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00232/raw_data/nanopore/dorado0.6.0_sup4.3.0_5mCG_5hmCG/11_14_23_R1041_HPRC_HG00232_1_dorado0.6.0_sup4.3.0_5mCG_5hmCG.bam
HG00232,01_23_24_R1041_HPRC_HG00232_3_dorado0.6.0_sup4.3.0_5mCG_5hmCG.bam,4.31,14.22,83581,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00232/raw_data/nanopore/dorado0.6.0_sup4.3.0_5mCG_5hmCG/01_23_24_R1041_HPRC_HG00232_3_dorado0.6.0_sup4.3.0_5mCG_5hmCG.bam
HG00232,11_14_23_R1041_HPRC_HG00232_4_dorado0.6.0_sup4.3.0_5mCG_5hmCG.bam,12.39,40.88,63321,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00232/raw_data/nanopore/dorado0.6.0_sup4.3.0_5mCG_5hmCG/11_14_23_R1041_HPRC_HG00232_4_dorado0.6.0_sup4.3.0_5mCG_5hmCG.bam
HG00232,11_14_23_R1041_HPRC_HG00232_2_dorado0.6.0_sup4.3.0_5mCG_5hmCG.bam,19.26,63.54,65468,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00232/raw_data/nanopore/dorado0.6.0_sup4.3.0_5mCG_5hmCG/11_14_23_R1041_HPRC_HG00232_2_dorado0.6.0_sup4.3.0_5mCG_5hmCG.bam
HG00232,01_23_24_R1041_HPRC_HG00232_1_dorado0.6.0_sup4.3.0_5mCG_5hmCG.bam,14.17,46.77,8954,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00232/raw_data/nanopore/dorado0.6.0_sup4.3.0_5mCG_5hmCG/01_23_24_R1041_HPRC_HG00232_1_dorado0.6.0_sup4.3.0_5mCG_5hmCG.bam
HG00232,01_23_24_R1041_HPRC_HG00232_4_dorado0.6.0_sup4.3.0_5mCG_5hmCG.bam,4.11,13.56,93635,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00232/raw_data/nanopore/dorado0.6.0_sup4.3.0_5mCG_5hmCG/01_23_24_R1041_HPRC_HG00232_4_dorado0.6.0_sup4.3.0_5mCG_5hmCG.bam
