sample_id	filename	coverage	total_gbp	download_url	s3_path	seq_plate_chemistry_version	library_id	instrument_model
HG00253	m84091_230721_134835_s1.hifi_reads.bc1003.bam	36.0	111.7	https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00253/raw_data/PacBio_HiFi/m84091_230721_134835_s1.hifi_reads.bc1003.bam	s3://human-pangenomics/working/HPRC/HG00253/raw_data/PacBio_HiFi/m84091_230721_134835_s1.hifi_reads.bc1003.bam	C1	HG00253_PB1_m84091_230721_134835_s1	Revio
HG00253	m84091_230727_143029_s4.hifi_reads.bc1003.bam	28.9	89.5	https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00253/raw_data/PacBio_HiFi/m84091_230727_143029_s4.hifi_reads.bc1003.bam	s3://human-pangenomics/working/HPRC/HG00253/raw_data/PacBio_HiFi/m84091_230727_143029_s4.hifi_reads.bc1003.bam	C1	HG00253_PB1_m84091_230727_143029_s4	Revio
HG00272	m84046_230716_051716_s3.hifi_reads.bc2087.bam	18.0	55.9	https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00272/raw_data/PacBio_HiFi/m84046_230716_051716_s3.hifi_reads.bc2087.bam	s3://human-pangenomics/working/HPRC/HG00272/raw_data/PacBio_HiFi/m84046_230716_051716_s3.hifi_reads.bc2087.bam	C1	PG00272.HFSS_m84046_230716_051716_s3	Revio
HG00272	m84046_230716_054822_s4.hifi_reads.bc2087.bam	19.1	59.3	https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00272/raw_data/PacBio_HiFi/m84046_230716_054822_s4.hifi_reads.bc2087.bam	s3://human-pangenomics/working/HPRC/HG00272/raw_data/PacBio_HiFi/m84046_230716_054822_s4.hifi_reads.bc2087.bam	C1	PG00272.HFSS_m84046_230716_054822_s4	Revio
HG00272	m84046_230718_223822_s1.hifi_reads.bc2087.bam	9.2	28.6	https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00272/raw_data/PacBio_HiFi/m84046_230718_223822_s1.hifi_reads.bc2087.bam	s3://human-pangenomics/working/HPRC/HG00272/raw_data/PacBio_HiFi/m84046_230718_223822_s1.hifi_reads.bc2087.bam	C1	PG00272.HFSS_m84046_230718_223822_s1	Revio
HG00272	m84046_230719_001055_s4.hifi_reads.bc2087.bam	21.5	66.5	https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00272/raw_data/PacBio_HiFi/m84046_230719_001055_s4.hifi_reads.bc2087.bam	s3://human-pangenomics/working/HPRC/HG00272/raw_data/PacBio_HiFi/m84046_230719_001055_s4.hifi_reads.bc2087.bam	C1	PG00272.HFSS_m84046_230719_001055_s4	Revio
HG00280	m84046_230628_213236_s2.hifi_reads.bc2051.bam	17.9	55.6	https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00280/raw_data/PacBio_HiFi/m84046_230628_213236_s2.hifi_reads.bc2051.bam	s3://human-pangenomics/working/HPRC/HG00280/raw_data/PacBio_HiFi/m84046_230628_213236_s2.hifi_reads.bc2051.bam	C1	PG00280.HFSS_m84046_230628_213236_s2	Revio
HG00290	m84046_230623_203534_s4.hifi_reads.bc2052.bam	15.8	48.9	https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00290/raw_data/PacBio_HiFi/m84046_230623_203534_s4.hifi_reads.bc2052.bam	s3://human-pangenomics/working/HPRC/HG00290/raw_data/PacBio_HiFi/m84046_230623_203534_s4.hifi_reads.bc2052.bam	C1	PG00290.HFSS_m84046_230623_203534_s4	Revio
HG00290	m84046_230627_201017_s1.hifi_reads.bc2052.bam	16.8	52.1	https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00290/raw_data/PacBio_HiFi/m84046_230627_201017_s1.hifi_reads.bc2052.bam	s3://human-pangenomics/working/HPRC/HG00290/raw_data/PacBio_HiFi/m84046_230627_201017_s1.hifi_reads.bc2052.bam	C1	PG00290.HFSS_m84046_230627_201017_s1	Revio
HG00290	m84046_230627_204123_s2.hifi_reads.bc2052.bam	19.1	59.2	https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00290/raw_data/PacBio_HiFi/m84046_230627_204123_s2.hifi_reads.bc2052.bam	s3://human-pangenomics/working/HPRC/HG00290/raw_data/PacBio_HiFi/m84046_230627_204123_s2.hifi_reads.bc2052.bam	C1	PG00290.HFSS_m84046_230627_204123_s2	Revio
